date,close,high,low,trade_count,open,volume,vwap,tic,macd,rsi_14,cci_14,boll_ub,boll_lb,turbulence
2016-01-04,105.35,105.368,102.0,351452,102.61,71935339,104.00725,AAPL,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-04,91.97,92.0,90.54,27532,91.77,3289473,91.396343,ADBE,-3.867122032730151,48.1881442063052,-43.48736086074098,937.7369309097294,-386.353597576396,0.009180690768499243
2016-01-04,636.99,657.715,627.51,137283,656.29,9616395,639.368877,AMZN,7.661768948159988,64.20576548693876,70.85804444768907,1024.738979019462,-399.86697901946195,0.028897426018021564
2016-01-04,26.41,26.42,25.88,141943,26.39,39410994,26.216093,CSCO,-4.0322311244461275,45.31256411335855,-58.46437800282233,1101.8019161328084,-507.66858279947513,0.017160890964299676
2016-01-04,759.44,762.2,747.54,52746,762.2,3546264,755.369565,GOOGL,14.675096153846141,100.0,66.66666666666667,1357.417949012618,-492.6279490126179,0.00813863951980238
2016-01-04,33.99,34.01,33.46,122840,33.88,32165978,33.778368,INTC,-12.168197542043941,45.64359644692853,-49.75155136551205,939.0699778250895,-476.47497782508947,0.02217506333628875
2016-01-04,102.22,102.24,99.75,234429,101.95,40592464,101.330525,META,-11.839496756030087,48.415598789825886,-43.13333832619788,820.3525102489675,-325.4075102489676,0.02536371126234417
2016-01-04,54.8,54.8,53.39,272783,54.32,59379610,54.152592,MSFT,-23.82582115391577,47.38334414952275,-50.63917070624247,740.4859988209078,-327.09599882090765,0.01612837208544159
2016-01-04,32.37,32.58,32.04,56932,32.29,9777779,32.290167,NVDA,-19.69513712103324,46.76180878579972,-60.278094301039566,778.3078402221644,-331.16339577772,0.011656370613525025
2016-01-04,223.41,231.38,219.0,69017,230.72,6950990,223.473208,TSLA,-5.239648807590356,51.340883138052305,-11.825750601714585,873.8755660681715,-337.42985178245715,0.02259443054268088
2016-01-05,102.71,105.85,102.41,321365,105.75,58690536,103.414304,AAPL,-1.650260935466008,48.14787802285901,-32.62187196153975,742.6370640548514,-310.505485107483,0.0
2016-01-05,92.34,92.85,91.41,19136,92.01,1955248,92.180464,ADBE,-19.812525278945117,48.426148112107086,-40.415987957926305,686.0999679653314,-288.9799679653314,0.009180690768499243
2016-01-05,633.79,646.91,627.65,72594,646.86,5986947,634.979148,AMZN,6.545535563610997,61.304826394286884,139.63955662349173,711.2505071124165,-297.32384044574985,0.028897426018021564
2016-01-05,26.29,26.66,26.18,87407,26.54,23962904,26.357963,CSCO,-13.535524231436455,46.5736227078585,-61.88637037808235,726.0832413322461,-312.9292413322461,0.017160890964299676
2016-01-05,761.53,769.2,755.65,33786,764.1,2472023,762.203307,GOOGL,39.38320163166907,63.574981381342575,180.75203997365261,802.1930115606626,-318.9455115606627,0.00813863951980238
2016-01-05,33.83,34.0,33.53,87505,33.96,17905707,33.736552,INTC,18.904369130964113,46.74897787640421,-60.058242893782044,781.4491503415,-322.64797387091176,0.02217506333628875
2016-01-05,102.73,103.7099,101.665,143230,102.89,24021945,102.721052,META,7.3329554963608246,48.14827352983281,-39.57525656381304,761.2476894530747,-316.521022786408,0.02536371126234417
2016-01-05,55.05,55.39,54.54,180639,54.93,36457804,55.043401,MSFT,-26.62888767910323,47.55351926424491,-49.69942794478825,638.8693213558604,-285.91789278443184,0.01612837208544159
2016-01-05,32.89,33.44,32.5,64465,32.98,13406139,33.024588,NVDA,-24.628354798200547,46.88235696795142,-60.051078035870056,661.5601788244652,-289.9278711321574,0.011656370613525025
2016-01-05,223.43,226.89,220.0,31302,226.36,3266892,223.233565,TSLA,-17.49272179186417,51.92727336602996,5.5558878365305935,714.7155121665643,-298.28278489383695,0.02259443054268088
2016-01-06,100.7,102.37,99.87,409164,100.56,71079827,100.847762,AAPL,1.1899596163415822,48.267725305576406,-37.157879941846545,725.3715902500646,-305.03759025006457,0.0
2016-01-06,91.02,91.5,90.24,15401,91.1,1815394,91.005203,ADBE,-0.8438018239248208,48.43736377387885,-31.19103338834613,724.8546181959052,-313.35761819590533,0.009180690768499243
2016-01-06,632.65,639.79,620.31,67908,622.0,5476659,631.65048,AMZN,9.022792212624466,57.78858829276936,128.55866430158719,724.978006714058,-317.103006714058,0.028897426018021564
2016-01-06,26.01,26.14,25.82,104951,26.08,32439679,25.969992,CSCO,-12.486170687982735,47.05279151676914,-59.562788333700325,725.5591017211686,-306.02310172116864,0.017160890964299676
2016-01-06,759.33,765.73,748.0,39908,750.37,2475553,758.792395,GOOGL,25.941225298087403,60.06269530181801,166.72192703819292,811.5965711340086,-333.04457113400866,0.00813863951980238
2016-01-06,33.08,33.52,32.8,121984,33.25,26939523,33.172456,INTC,-28.863933068113994,47.33808718884824,-55.37234846194897,658.8910933296988,-311.0440933296988,0.02217506333628875
2016-01-06,102.97,103.77,100.9,152003,101.13,25678428,102.671621,META,12.169258632706516,48.302923415800876,-34.68845956235919,726.0328098605036,-313.1278098605036,0.02536371126234417
2016-01-06,54.05,54.4001,53.64,225858,54.32,41899187,54.101926,MSFT,-21.025469340842108,47.5861777992387,-46.17349867685077,659.3101517423281,-298.0681517423281,0.01612837208544159
2016-01-06,31.53,32.5,31.16,70692,32.35,11606505,31.818124,NVDA,-29.00775513486502,47.17513505452766,-51.19965539521861,659.3976412294314,-304.19964122943145,0.011656370613525025
2016-01-06,219.04,220.05,215.98,33013,220.0,3869402,217.77988,TSLA,-21.597021440362596,50.9725349469943,1.0109125907613394,659.0956210316389,-304.3346210316388,0.02259443054268088
2016-01-07,96.45,100.13,96.43,462836,98.68,85996453,98.046209,AAPL,-21.084020055469097,48.64603999665689,-33.706657419595835,724.3390198955847,-309.0270198955847,0.0
2016-01-07,89.11,91.4,88.71,23786,89.4,2963543,89.729459,ADBE,-12.041742536182568,48.672566301447496,-32.45171703010491,614.836665475582,-282.49266547558204,0.009180690768499243
2016-01-07,607.94,630.0,605.21,92501,621.8,7278655,616.293737,AMZN,6.875583250371193,57.923960048935264,203.66474743228244,615.1126592885773,-273.67665928857724,0.028897426018021564
2016-01-07,25.41,25.74,25.12,142944,25.49,49266614,25.398388,CSCO,-6.498693852277057,47.594696004500484,-59.75899728644955,615.0658916844808,-281.36189168448084,0.017160890964299676
2016-01-07,741.0,755.31,735.28,49265,746.49,3300300,746.070658,GOOGL,33.55633603808849,58.15739593537941,182.19028477788095,713.1484363345336,-309.33343633453364,0.00813863951980238
2016-01-07,31.84,33.0077,31.84,163862,32.28,41368839,32.234713,INTC,-17.714167638555978,47.440009663157035,-57.98865869983444,724.4719520326622,-313.2999520326622,0.02217506333628875
2016-01-07,97.92,101.43,97.3,271754,100.5,46469979,99.350526,META,-6.989277155027935,48.522217163944134,-33.2022510758586,724.4506410450892,-313.17364104508925,0.02536371126234417
2016-01-07,52.17,53.485,52.07,303273,52.7,61897908,52.582547,MSFT,-26.790515427081687,47.83591947244533,-51.27345134042874,658.4298022716434,-301.2798022716434,0.01612837208544159
2016-01-07,30.28,30.953,29.88,97956,30.74,16989171,30.346467,NVDA,-32.5919218318524,47.41553599390912,-61.53606572180379,539.1487076761177,-255.12370767611776,0.011656370613525025
2016-01-07,215.65,218.44,213.67,33419,214.19,3642624,216.05761,TSLA,0.5749675517421622,50.42524988772748,15.853353015189088,724.4214873934541,-313.7024873934541,0.02259443054268088
2016-01-08,96.96,99.11,96.76,419555,98.55,75066292,97.91649,AAPL,-10.933969928365542,48.56876783601011,-40.74649807689151,698.4619940623921,-296.12599406239224,0.0
2016-01-08,87.85,89.99,87.63,20414,89.68,2509896,88.601528,ADBE,37.02555994457799,48.325840845557835,-43.286594218077454,760.0276976969249,-287.1066976969248,0.009180690768499243
2016-01-08,607.05,624.14,606.0,71586,619.66,5729208,614.894756,AMZN,39.90879215355778,55.12826253317606,139.1580307614675,678.1960172505536,-285.7250172505536,0.028897426018021564
2016-01-08,24.78,25.63,24.72,116178,25.55,31437799,25.073064,CSCO,-23.491017932476836,47.65107259198911,-60.31109981509745,699.1053887708574,-303.39338877085737,0.017160890964299676
2016-01-08,730.91,750.12,728.9201,39970,747.8,2605070,737.18018,GOOGL,59.46560667588807,55.638937021607155,132.96025018191466,761.1680553523455,-293.8790553523455,0.00813863951980238
2016-01-08,31.51,32.22,31.43,142641,32.09,32404640,31.819633,INTC,9.970341516386043,47.638601469946366,-61.92727556175604,613.6124242797973,-271.77642427979725,0.02217506333628875
2016-01-08,97.33,100.5,97.0311,204105,99.88,36533649,98.907319,META,23.50354147539781,48.510280844209205,-39.21320448198005,677.4954046039729,-277.89240460397303,0.02536371126234417
2016-01-08,52.33,53.28,52.15,261924,52.37,52260304,52.699303,MSFT,16.265544208692887,47.95093202521958,-53.624867729178725,758.1286456478391,-301.8786456478391,0.01612837208544159
2016-01-08,29.63,30.7,29.565,60419,30.67,10461559,30.069429,NVDA,-1.947991938367295,47.69626763726269,-57.8229042752599,758.2256121095204,-302.3206121095204,0.011656370613525025
2016-01-08,211.0,220.44,210.77,32657,217.86,3736631,214.712766,TSLA,28.247319344242896,50.0582073612527,0.659632833725333,613.5867674657271,-264.60476746572715,0.02259443054268088
2016-01-11,98.53,99.06,97.34,292283,98.97,52375648,98.162392,AAPL,-34.360229884713675,48.79696917062018,-35.64623686152258,695.368824564864,-318.63382456486397,0.0
2016-01-11,89.38,89.8025,87.84,23749,88.07,2519847,88.852521,ADBE,-35.73641066408803,48.65460147282239,-38.58558252072224,695.1495148787966,-312.66051487879656,0.009180690768499243
2016-01-11,617.74,619.85,598.57,62958,612.48,5038692,611.459094,AMZN,2.8185770969564885,56.93462474453395,141.60706488132365,753.462295510138,-318.8312955101379,0.028897426018021564
2016-01-11,25.27,25.345,24.93,123242,24.93,35576059,25.137369,CSCO,-33.019337930484056,47.6583028381118,-56.46748856447363,695.3611528597608,-318.68715285976083,0.017160890964299676
2016-01-11,733.07,735.08,719.56,41227,731.95,2645253,729.142838,GOOGL,31.925500793050134,57.744058104294645,247.04073927730587,783.6622145346357,-324.03921453463585,0.00813863951980238
2016-01-11,32.06,32.22,31.68,127265,31.81,30575044,31.962208,INTC,-10.342283594835749,47.80816424315963,-52.6799847465732,753.4211432402325,-318.6121432402325,0.02217506333628875
2016-01-11,97.51,98.6,95.39,178521,97.91,30652421,96.888253,META,17.737445999925228,48.55810147742876,-25.179292080521765,698.6993349854317,-303.4253349854317,0.02536371126234417
2016-01-11,52.3,52.85,51.46,228036,52.51,39491207,52.172856,MSFT,-39.32107257255586,48.04288384280799,-46.90626234266116,695.072856815659,-316.998856815659,0.01612837208544159
2016-01-11,29.68,29.89,29.15,66676,29.66,10573217,29.537759,NVDA,-20.721312357405623,47.7746503655004,-52.303077545339214,697.5140987031682,-320.53109870316814,0.011656370613525025
2016-01-11,207.85,214.45,203.0,39744,214.01,4157432,207.166501,TSLA,-14.554315869350859,50.568291030355994,22.646899160882935,700.8365826132056,-305.6095826132056,0.02259443054268088
2016-01-12,99.96,100.69,98.8399,282811,100.55,51870901,99.764759,AAPL,18.61598422950371,48.23194172671932,-43.420229426686085,705.3874335608714,-309.32743356087144,0.0
2016-01-12,89.82,91.03,88.4075,21855,89.89,2605221,89.680439,ADBE,5.812147366301446,48.45765517584024,-29.736948323542332,694.8856192172194,-311.72961921721947,0.009180690768499243
2016-01-12,617.89,625.99,612.2415,58916,625.25,5006073,620.360524,AMZN,62.50761653049352,55.15612496056025,100.63798066023571,705.0184192450404,-308.20441924504036,0.028897426018021564
2016-01-12,25.35,25.57,25.03,98638,25.51,32215909,25.303125,CSCO,-0.4545151281552364,47.25657248276336,-63.305818895685924,705.4760275733652,-309.84402757336517,0.017160890964299676
2016-01-12,745.34,748.34,736.43,37854,740.75,2448455,743.893586,GOOGL,37.301502286358044,57.066794365040046,171.35660784626543,732.4252267058607,-324.30922670586074,0.00813863951980238
2016-01-12,32.68,32.89,32.27,136344,32.76,30537073,32.582556,INTC,35.128011168005344,47.321516332668494,-61.77267419450752,705.385742912051,-314.088742912051,0.02217506333628875
2016-01-12,99.37,99.96,97.55,168244,99.0,29365186,99.065267,META,-19.354403462590653,48.424849160706444,-39.04258768883671,705.0369043075727,-306.3639043075727,0.02536371126234417
2016-01-12,52.78,53.1,52.06,212074,52.76,39258909,52.628239,MSFT,-13.211574263425206,47.67551336018745,-52.033053311625046,705.4944503301792,-314.2804503301792,0.01612837208544159
2016-01-12,30.18,30.62,29.97,72818,30.21,12726446,30.220633,NVDA,-8.313388153214902,47.61066564243034,-58.00679059803629,635.8433666242269,-292.5283666242268,0.011656370613525025
2016-01-12,209.97,213.7395,205.31,28890,211.6,3179026,209.401182,TSLA,5.912887122530293,50.19129788066637,16.749469798688672,698.1559767353623,-297.1539767353622,0.02259443054268088
2016-01-13,97.39,101.19,97.3,362017,100.32,64725429,99.326527,AAPL,-27.668905559103422,48.39775840933771,-37.928281580291866,704.4105226874973,-298.8345226874974,0.0
2016-01-13,88.3,91.44,87.99,30043,90.59,3599970,89.678693,ADBE,-39.377188712453645,48.45331053309331,-31.654280934281672,640.3335201951927,-293.77952019519273,0.009180690768499243
2016-01-13,581.81,620.88,579.16,100624,620.88,8002307,594.172902,AMZN,0.6299306206495032,57.896296376581276,135.99946815537152,696.6463269443684,-295.1173269443685,0.028897426018021564
2016-01-13,24.6,25.52,24.57,125146,25.42,35826419,24.908239,CSCO,-21.97054184903172,47.340578075333504,-56.97655700323755,693.6269934176778,-310.1999934176777,0.017160890964299676
2016-01-13,719.57,753.0,716.78,40505,749.34,2783727,729.661771,GOOGL,25.626474455849944,58.32127509640266,264.10921117762194,689.9136552833111,-307.83665528331113,0.00813863951980238
2016-01-13,31.91,32.93,31.83,170906,32.76,37137851,32.265056,INTC,-11.79154435295635,47.46271153695014,-53.27098469273413,696.5968302387867,-294.8448302387867,0.02217506333628875
2016-01-13,95.44,100.58,95.21,197260,100.58,34413805,97.527313,META,-24.258473863629746,48.36193336644398,-41.643915641650835,704.4173518570066,-298.7273518570066,0.02536371126234417
2016-01-13,51.64,54.07,51.3038,370587,53.8,70299689,52.743636,MSFT,-33.662546067077386,47.564007435484434,-50.31670236335579,704.5994510555793,-302.7974510555793,0.01612837208544159
2016-01-13,29.26,30.61,29.23,74978,30.41,13470243,29.763066,NVDA,-39.75413144956855,47.13622829589142,-57.32048022091493,704.9815049300521,-305.48350493005216,0.011656370613525025
2016-01-13,200.31,212.65,200.0,37904,212.01,4197796,204.10927,TSLA,21.28357909035205,49.9417224665094,20.04160419137157,693.1107703092819,-300.75377030928195,0.02259443054268088
2016-01-14,99.52,100.48,95.74,362782,97.96,65793807,98.330652,AAPL,9.61291564641408,48.4855155160913,-26.888214403105824,693.1774562685766,-299.85045626857664,0.0
2016-01-14,89.8,90.3,87.32,35084,88.92,4338082,89.256343,ADBE,-4.824634647809603,48.43077899177951,-39.62829138446472,683.3916489897475,-295.62464898974747,0.009180690768499243
2016-01-14,593.0,602.25,569.88,86278,580.25,7453181,588.707834,AMZN,27.808751628395328,55.64551549343284,137.5087266853253,743.2245788660122,-312.1465788660122,0.028897426018021564
2016-01-14,24.66,24.9,24.46,152102,24.69,46129391,24.684713,CSCO,-5.601801540817036,47.38048034008644,-59.685580198181256,689.7483009108918,-314.95230091089184,0.017160890964299676
2016-01-14,731.39,739.89,705.0,43879,724.44,2919830,726.352997,GOOGL,40.999260095745285,57.05319903872825,135.24618907453527,683.6298671785277,-300.2038671785276,0.00813863951980238
2016-01-14,32.74,32.87,31.8,209638,31.97,51079138,32.442537,INTC,5.369901034406837,47.629776700229975,-60.00810824498523,683.4602960337915,-294.7362960337914,0.02217506333628875
2016-01-14,98.37,98.87,92.45,272685,95.85,50058183,96.122351,META,24.108388988533335,48.43325245325446,-43.51463747026342,683.1484955305574,-292.42049553055745,0.02536371126234417
2016-01-14,53.11,53.4163,51.57,277036,52.0,57332453,52.696259,MSFT,-4.39657097547348,47.99213520425869,-46.82071512444887,576.7885215207845,-273.85552152078446,0.01612837208544159
2016-01-14,28.67,29.0,27.82,87622,28.66,15600855,28.46052,NVDA,8.71498758997555,47.6433155063531,-56.74290738232394,650.1358656272741,-290.7248656272742,0.011656370613525025
2016-01-14,206.18,210.0,193.38,58237,202.21,6610193,201.855399,TSLA,-2.4233129927737593,50.22869964760619,2.298047947351735,582.3281951592317,-262.0451951592317,0.02259443054268088
2016-01-15,97.13,97.71,95.36,446779,96.2,86255486,96.669106,AAPL,-18.764759913339844,48.52381992127635,-34.64910668603853,685.6982870342417,-276.67828703424175,0.0
2016-01-15,89.17,89.35,86.82,32831,86.84,4530953,88.449363,ADBE,-12.806943137067009,48.42197285801037,-41.534310350056614,683.3515649321325,-296.2115649321326,0.009180690768499243
2016-01-15,570.18,584.62,565.3,95677,572.24,8327314,572.779902,AMZN,9.212595634901191,55.88726199596854,123.28471739175149,678.7608005418969,-293.17580054189693,0.028897426018021564
2016-01-15,23.62,24.43,23.57,217714,23.93,70644887,23.825005,CSCO,6.957761229090721,47.477496388012874,-65.444891526498,717.0950563799045,-301.67505637990433,0.017160890964299676
2016-01-15,710.49,724.158,701.51,57059,709.99,4149861,710.954517,GOOGL,26.532605702050375,57.84032735332235,168.03093197419085,763.3714896983115,-292.13248969831164,0.00813863951980238
2016-01-15,29.76,30.5,29.45,286949,29.73,84157589,29.894147,INTC,-7.9683063710215265,47.56792860823686,-60.40311025729454,717.1446527472641,-301.9396527472642,0.02217506333628875
2016-01-15,94.97,96.38,93.54,271782,93.98,49249968,94.87616,META,-18.45254157069249,48.514787919613546,-41.4752910918454,683.3317971926178,-296.4337971926179,0.02536371126234417
2016-01-15,50.99,51.97,50.34,352878,51.31,80234990,51.051415,MSFT,-26.9097793089378,47.93392795966876,-51.569641194459656,626.7960823238304,-278.1980823238305,0.01612837208544159
2016-01-15,27.11,27.85,26.64,124072,27.52,22317440,27.135308,NVDA,-19.782921394739446,47.52989156208819,-61.455950257461446,717.0815714009943,-301.6255714009944,0.011656370613525025
2016-01-15,204.99,205.07,197.25,46653,198.97,5482812,201.221728,TSLA,-13.895206331556693,50.3403058450174,9.943095611270968,686.4329084019939,-284.199908401994,0.02259443054268088
2016-01-19,96.66,98.65,95.5,291405,98.41,55291216,96.891036,AAPL,21.75216425336933,48.57274850823301,-38.24005235017821,754.6343461292442,-316.2583461292443,0.0
2016-01-19,89.18,91.4,88.37,34833,90.29,3924074,89.794747,ADBE,12.087315831126062,48.50365298484638,-36.73947577101952,674.4946595381126,-291.28165953811265,0.009180690768499243
2016-01-19,574.48,584.0,566.45,62242,577.09,5000056,575.386991,AMZN,26.14792513216244,54.87751567349113,137.74118800727942,728.8713955257805,-295.27639552578046,0.028897426018021564
2016-01-19,23.85,24.03,23.59,171608,23.8,58963111,23.84388,CSCO,-4.276433316596382,47.70046368923807,-57.92704845346946,674.6007392376337,-291.8697392376337,0.017160890964299676
