date|close|high|low|trade_count|open|volume|vwap|tic
2016-01-04|23.83|23.84|23.07|351452|23.21|287741356|23.53|AAPL
2016-01-05|23.23|23.95|23.17|321365|23.92|234762144|23.39|AAPL
2016-01-06|22.78|23.16|22.59|409164|22.75|284319308|22.81|AAPL
2016-01-07|21.82|22.65|21.81|462836|22.32|343985812|22.18|AAPL
2016-01-08|21.93|22.42|21.89|419555|22.29|300265168|22.15|AAPL
2016-01-11|22.29|22.41|22.02|292283|22.39|209502592|22.21|AAPL
2016-01-12|22.61|22.78|22.36|282811|22.75|207483604|22.57|AAPL
2016-01-13|22.03|22.89|22.01|362017|22.69|258901716|22.47|AAPL
2016-01-14|22.51|22.73|21.66|362782|22.16|263175228|22.24|AAPL
2016-01-15|21.97|22.1|21.57|446779|21.76|345021944|21.87|AAPL
2016-01-19|21.87|22.32|21.6|291405|22.26|221164864|21.92|AAPL
2016-01-20|21.9|22.21|21.13|431731|21.51|307258408|21.56|AAPL
2016-01-21|21.78|22.14|21.48|301289|21.96|215498276|21.86|AAPL
2016-01-22|22.94|22.95|22.25|375004|22.31|274220296|22.64|AAPL
2016-01-25|22.5|22.97|22.44|281834|22.97|226822220|22.7|AAPL
2016-01-26|22.62|22.82|22.19|402740|22.61|307594512|22.57|AAPL
2016-01-27|21.13|21.86|21.12|683978|21.73|544630524|21.46|AAPL
2016-01-28|21.28|21.38|20.9|338199|21.22|229529964|21.18|AAPL
2016-01-29|22.02|22.02|21.34|330709|21.44|289898536|21.8|AAPL
2016-02-01|21.81|21.88|21.58|236718|21.82|171610304|21.77|AAPL
2016-02-02|21.37|21.73|21.33|232923|21.59|156538884|21.5|AAPL
2016-02-03|21.8|21.91|21.28|297823|21.49|191516688|21.58|AAPL
2016-02-04|21.97|22.14|21.65|265046|21.8|193998696|21.91|AAPL
2016-02-05|21.38|22.04|21.31|288496|21.95|193504760|21.59|AAPL
2016-02-08|21.61|21.77|21.16|353981|21.18|228911932|21.44|AAPL
2016-02-09|21.6|21.82|21.36|273871|21.44|183088276|21.58|AAPL
2016-02-10|21.44|21.91|21.4|265625|21.82|175307724|21.66|AAPL
2016-02-11|21.31|21.54|21.06|315319|21.33|211929456|21.29|AAPL
2016-02-12|21.38|21.49|21.15|243991|21.42|172630668|21.33|AAPL
2016-02-16|21.98|22.03|21.52|267843|21.61|208788524|21.82|AAPL
2016-02-17|22.32|22.34|21.87|243459|21.99|191251248|22.16|AAPL
2016-02-18|21.89|22.49|21.85|215836|22.48|165296752|22.05|AAPL
2016-02-19|21.84|22.01|21.79|188049|21.83|153786648|21.88|AAPL
2016-02-22|22.03|22.04|21.82|164911|21.9|129551632|21.93|AAPL
2016-02-23|21.54|21.95|21.5|199766|21.92|137178772|21.66|AAPL
2016-02-24|21.86|21.92|21.22|220037|21.37|150980252|21.56|AAPL
2016-02-25|22.01|22.01|21.66|173262|21.85|116476672|21.85|AAPL
2016-02-26|22.04|22.29|21.97|172815|22.11|121992080|22.11|AAPL
2016-02-29|21.99|22.34|21.98|175889|22.03|159678928|22.13|AAPL
2016-03-01|22.86|22.92|22.16|294794|22.21|209820656|22.67|AAPL
2016-03-02|22.91|22.95|22.66|190906|22.86|141231944|22.8|AAPL
2016-03-03|23.08|23.13|22.85|209592|22.88|151938536|23.02|AAPL
2016-03-04|23.43|23.6|23.06|246777|23.28|191144836|23.37|AAPL
2016-03-07|23.17|23.39|22.96|211394|23.29|150078528|23.18|AAPL
2016-03-08|22.98|23.14|22.83|187694|22.92|134345964|23.0|AAPL
2016-03-09|23.0|23.1|22.81|169254|23.04|115821280|22.97|AAPL
2016-03-10|23.01|23.25|22.78|206150|23.06|141361288|23.0|AAPL
2016-03-11|23.26|23.26|23.08|155505|23.25|119201920|23.2|AAPL
2016-03-14|23.32|23.41|23.15|145487|23.18|109000892|23.3|AAPL
2016-03-15|23.79|23.92|23.62|225939|23.64|170016976|23.79|AAPL
2016-03-16|24.1|24.18|23.79|230350|23.79|159501368|24.01|AAPL
2016-03-17|24.06|24.22|23.87|175512|24.0|146306508|24.06|AAPL
2016-03-18|24.09|24.22|23.92|175071|24.19|228013384|24.12|AAPL
2016-03-21|24.09|24.48|23.91|208780|24.09|146566164|24.15|AAPL
2016-03-22|24.27|24.4|23.93|174145|23.94|139099044|24.28|AAPL
2016-03-23|24.14|24.35|24.09|146399|24.22|108803332|24.21|AAPL
2016-03-24|24.03|24.17|23.86|143297|23.99|112706584|23.99|AAPL
2016-03-28|23.92|24.15|23.89|112799|24.11|84391484|23.98|AAPL
2016-03-29|24.49|24.52|23.85|175679|23.86|134368800|24.33|AAPL
2016-03-30|24.92|25.11|24.7|230967|24.71|189317436|24.92|AAPL
