date,account_value
2023-01-03,100000.0
2023-01-03,100108.5175
2023-01-04,99521.573125
2023-01-05,100266.156875
2023-01-06,101181.76921875
2023-01-09,101196.57234375
2023-01-10,103066.701328125
2023-01-11,103282.97109375
2023-01-12,103892.126381073
2023-01-13,103956.35790657044
2023-01-17,102983.66580795289
2023-01-18,103044.28163726807
2023-01-19,107063.93772547721
2023-01-20,109532.25014427185
2023-01-23,108594.00014427185
2023-01-24,107710.23014427186
2023-01-25,110502.11255519869
2023-01-26,112422.92584342956
2023-01-27,109873.55263803482
2023-01-30,112012.28044773103
2023-01-31,114883.86129899978
2023-02-01,119914.05816215515
2023-02-02,116901.53494873046
2023-02-03,115243.74064420702
2023-02-06,117763.160644207
2023-02-07,114714.7099195099
2023-02-08,113158.8237506485
2023-02-09,112131.84207252505
2023-02-10,113432.61414970398
2023-02-13,114195.79414970397
2023-02-14,115126.66414970397
2023-02-15,112354.59414970399
2023-02-16,110841.45211174012
2023-02-17,107388.32928977968
2023-02-21,107760.44928977967
2023-02-22,107549.91928977966
2023-02-23,103024.82614128113
2023-02-24,103829.52614128112
2023-02-27,104015.67614128113
2023-02-28,103469.67614128113
2023-03-01,105003.52614128112
2023-03-02,107944.26614128114
2023-03-03,108549.86614128112
2023-03-06,107378.55614128112
2023-03-07,107773.60614128113
2023-03-08,105823.44614128112
2023-03-09,104165.31614128113
2023-03-10,104109.38614128111
2023-03-13,107000.23614128112
2023-03-14,107746.39614128113
2023-03-15,112573.71283386232
2023-03-16,112796.45686607361
2023-03-17,113219.23392593385
2023-03-20,115709.69387174607
2023-03-21,113308.2928855419
2023-03-22,115091.65786933899
2023-03-23,115988.43389297483
2023-03-24,114839.19091020583
2023-03-27,114420.07091020586
2023-03-28,117067.54091020583
2023-03-29,118066.06914291382
2023-03-30,119845.23914291382
2023-03-31,119478.69914291381
2023-04-03,120386.55914291381
2023-04-04,119094.44914291381
2023-04-05,119946.11914291383
2023-04-06,118574.9091429138
2023-04-10,117148.2691429138
2023-04-11,116278.35918952942
2023-04-12,119481.87918952943
2023-04-13,119678.14918952942
2023-04-14,119124.24918952941
2023-04-17,118802.98918952943
2023-04-18,119279.82918952942
2023-04-19,119146.10918952941
2023-04-20,118923.46918952942
2023-04-21,118646.14918952942
2023-04-24,116186.53918952942
2023-04-25,115900.81660934447
2023-04-26,119457.03807853698
2023-04-27,120181.36572265625
2023-04-28,118842.69583007811
2023-05-01,117828.1925061798
2023-05-02,115346.31250617982
2023-05-03,114199.5825061798
2023-05-04,117368.2075061798
2023-05-05,117047.2925061798
2023-05-08,116352.52250617981
2023-05-09,117932.62750617982
2023-05-10,118101.04669548034
2023-05-11,116964.97555122376
2023-05-12,118523.37514610292
2023-05-15,118897.59514610292
2023-05-16,120696.53443290711
2023-05-17,122662.52443290713
2023-05-18,123672.74443290711
2023-05-19,123730.89443290711
2023-05-22,122445.19443290711
2023-05-23,121900.16443290711
2023-05-24,124267.6344329071
2023-05-25,129408.77133153916
2023-05-26,130628.9445376587
2023-05-30,131115.97953781128
2023-05-31,133072.35677490232
2023-06-01,134889.45773483277
2023-06-02,134019.39773483278
2023-06-05,134660.57773483277
2023-06-06,131286.61773483278
2023-06-07,135180.09773483276
2023-06-08,136794.45773483277
2023-06-09,141421.3777348328
2023-06-12,142322.03773483276
2023-06-13,143214.83773483278
2023-06-14,145382.21773483275
2023-06-15,145562.25773483276
2023-06-16,143787.56503471377
2023-06-20,141162.73503471373
2023-06-21,142822.89503471373
2023-06-22,143583.77503471376
2023-06-23,142095.84503471374
2023-06-26,144513.54503471372
2023-06-27,143738.52503471373
2023-06-28,143359.72503471375
2023-06-29,145520.56503471374
2023-06-30,144874.91503471375
2023-07-03,144635.42503471376
2023-07-05,143179.1450347138
2023-07-06,143651.32431365966
2023-07-07,144402.26652275084
2023-07-10,146020.14185146333
2023-07-11,147491.60185146332
2023-07-12,149947.38185146332
2023-07-13,149442.70588615417
2023-07-14,151230.96588615418
2023-07-17,152353.33588615418
2023-07-18,152303.73588615417
2023-07-19,148861.26588615417
2023-07-20,149465.9758861542
2023-07-21,149714.87720907212
2023-07-24,150394.3171069336
2023-07-25,149494.69710693357
2023-07-26,149316.2527948761
2023-07-27,153828.02316398622
2023-07-28,156063.75177515033
2023-07-31,155943.7717751503
2023-08-01,151347.88895217894
2023-08-02,150594.94895217897
2023-08-03,151768.21895217896
2023-08-04,152197.52947772978
2023-08-07,150523.12947772982
2023-08-08,148479.01947772977
2023-08-09,149082.3994777298
2023-08-10,148107.4594777298
2023-08-11,151173.0494777298
2023-08-14,149260.1094777298
2023-08-15,147335.7994777298
2023-08-16,145769.2994777298
2023-08-17,145300.6894777298
2023-08-18,147752.9594777298
2023-08-21,147637.02947772978
2023-08-22,150713.27947772978
2023-08-23,145864.26947772977
2023-08-24,148640.93244411467
2023-08-25,149767.56244411468
2023-08-28,152654.8536381531
2023-08-29,154079.8836381531
2023-08-30,156984.33363815307
2023-08-31,158619.00363815308
2023-09-01,158776.06363815308
2023-09-05,156962.7636381531
2023-09-06,156991.3336381531
2023-09-07,157067.8036381531
2023-09-08,159141.19363815308
2023-09-11,155287.8436381531
2023-09-12,157151.8836381531
2023-09-13,157172.51363815306
2023-09-14,152511.54363815306
2023-09-15,153490.90382505415
2023-09-18,153604.73382505417
2023-09-19,150800.9138250542
2023-09-20,146267.33382505417
2023-09-21,145983.41382505416
2023-09-22,146517.5438250542
2023-09-25,143755.93382505415
2023-09-26,143398.92382505417
2023-09-27,144040.00382505415
2023-09-28,145286.24382505415
