date,account_value
2021-01-04,100000.0
2021-01-04,100598.25681152343
2021-01-05,99985.90380691527
2021-01-06,103936.23380691529
2021-01-07,107912.92381814003
2021-01-08,102887.80785644532
2021-01-11,104965.27948181152
2021-01-12,105876.1648272705
2021-01-13,104547.65257751464
2021-01-14,102865.5713671875
2021-01-15,103902.6060270691
2021-01-19,105717.58535621644
2021-01-20,105652.29535621643
2021-01-21,105778.61535621644
2021-01-22,107888.41535621643
2021-01-25,108359.79535621643
2021-01-26,105412.53535621642
2021-01-27,104379.52535621643
2021-01-28,101116.30535621641
2021-01-29,105134.63535621643
2021-02-01,108786.78535621642
2021-02-02,107387.71535621645
2021-02-03,108049.97535621643
2021-02-04,108538.15535621645
2021-02-05,109420.49535621643
2021-02-08,108851.28535621642
2021-02-09,105807.94535621644
2021-02-10,106676.59535621644
2021-02-11,107175.49535621643
2021-02-12,106302.73535621644
2021-02-16,105204.00535621642
2021-02-17,104255.12535621643
2021-02-18,102804.41535621643
2021-02-19,97561.16535621643
2021-02-22,96711.09535621642
2021-02-23,100246.33450286865
2021-02-24,94743.19723713011
2021-02-25,94386.4607196045
2021-02-26,98068.76606471538
2021-03-01,95850.65606471538
2021-03-02,91802.3260647154
2021-03-03,88847.06606471539
2021-03-04,87760.94606471539
2021-03-05,83499.05126098632
2021-03-08,92013.452237854
2021-03-09,91441.6622177124
2021-03-10,94969.68632110595
2021-03-11,93830.64309684755
2021-03-12,95077.24309684752
2021-03-15,93562.14309684753
2021-03-16,95108.53309684753
2021-03-17,90800.84309684753
2021-03-18,91172.02309684752
2021-03-19,93362.41618179322
2021-03-22,93791.6361817932
2021-03-23,90862.4161817932
2021-03-24,91419.7435332489
2021-03-25,92245.32353324891
2021-03-26,91826.1535332489
2021-03-29,92828.44353324891
2021-03-30,95915.8235332489
2021-03-31,96473.0535332489
2021-04-01,99197.1235332489
2021-04-05,99193.8385332489
2021-04-06,98191.64353324892
2021-04-07,99709.14353324889
2021-04-08,99791.8835332489
2021-04-09,101513.5635332489
2021-04-12,106159.41353324891
2021-04-13,103854.7222052002
2021-04-14,105728.2642211914
2021-04-15,105997.63240463258
