time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/n_updates,train/clip_fraction,train/std,train/clip_range,train/explained_variance,train/entropy_loss,train/approx_kl
1,-0.16682427920150805,631,3,2048,1258.0,,,,,,,,,,,
2,-0.07675035816574098,555,7,4096,1258.0,0.13018712401390076,-0.02094138632164686,0.4030676505062729,0.0003,10,0.1083984375,0.9970172047615051,0.2,-0.16152751445770264,-14.16916345357895,0.0119996555
3,-0.12286672370243219,401,15,6144,1258.0,0.30569642782211304,-0.024080515054811256,0.6836550848325714,0.0003,20,0.14443359375,0.9939972162246704,0.2,0.019129395484924316,-14.138744038343429,0.012545197
4,-0.11809195391655046,420,19,8192,1258.0,0.3144474923610687,-0.02908775678515667,0.5920719769783318,0.0003,30,0.154052734375,0.995366096496582,0.2,0.025378525257110596,-14.137182652950287,0.01438771
5,-0.11748511976957388,432,23,10240,1258.0,0.3566003441810608,-0.0244384295103373,1.0704121327027678,0.0003,40,0.147314453125,0.9957195520401001,0.2,0.04168295860290527,-14.145005667209626,0.013737524
6,-0.13586257009506233,439,27,12288,1258.0,0.29029422998428345,-0.02714090975205181,0.8639190949965269,0.0003,50,0.1515625,0.9948198199272156,0.2,0.06780755519866943,-14.142302641272545,0.015077939
7,-0.15054245872844352,448,31,14336,1258.0,0.2236272245645523,-0.02579145160270855,0.6441218824591488,0.0003,60,0.1578125,0.9895394444465637,0.2,0.027737081050872803,-14.101358869671822,0.015347849
8,-0.1558766500666689,455,35,16384,1258.0,0.3043579161167145,-0.026003604760626332,0.48214538949541746,0.0003,70,0.16259765625,0.9845062494277954,0.2,0.05749613046646118,-14.05402754843235,0.015081122
9,-0.14884468919590535,435,42,18432,1258.0,0.1735266000032425,-0.026020424664602616,0.5603205149527639,0.0003,80,0.13876953125,0.9890772700309753,0.2,0.08060562610626221,-14.061259093880654,0.013936159
10,-0.1430967003059384,410,49,20480,1258.0,0.5459117293357849,-0.02779222259123344,0.7824456705246121,0.0003,90,0.173486328125,0.9860919713973999,0.2,0.07686108350753784,-14.066980785131454,0.015414296
